name,state,pop
Arkansas Northeastern College,AR,1037.0
Margaret's Hair Academy Inc,AR,45.0
New Tyler Barber College Inc,AR,67.0
North Arkansas College,AR,1662.0
Northwest Technical Institute,AR,267.0
Ouachita Baptist University,AR,1455.0
College of the Ouachitas,AR,810.0
Ozarka College,AR,1065.0
University of the Ozarks,AR,578.0
University of Arkansas Community College-Morrilton,AR,1920.0
Philander Smith College,AR,565.0
Phillips Community College of the University of Arkansas,AR,769.0
Southeast Arkansas College,AR,1322.0
Professional Cosmetology Education Center,AR,47.0
Pulaski Technical College,AR,8364.0
University of Arkansas Community College-Hope,AR,1078.0
Rich Mountain Community College,AR,533.0
Paul Mitchell the School-Arkansas,AR,118.0
Searcy Beauty College,AR,59.0
Shorter College,AR,403.0
Williams Baptist College,AR,508.0
South Arkansas Community College,AR,1341.0
Southern Arkansas University Main Campus,AR,2784.0
Southern Arkansas University Tech,AR,732.0
Velvatex College of Beauty Culture,AR,25.0
University of Arkansas-Fort Smith,AR,5990.0
Academy of Art University,CA,9885.0
ITT Technical Institute-Rancho Cordova,CA,500.0
Academy of Chinese Culture and Health Sciences,CA,
The Academy of Radio and TV Broadcasting,CA,14.0
Avalon School of Cosmetology-Alameda,CA,253.0
College of Alameda,CA,5141.0
Allan Hancock College,CA,9738.0
American Academy of Dramatic Arts-Los Angeles,CA,280.0
American Baptist Seminary of the West,CA,
American Film Institute Conservatory,CA,
American Beauty College,CA,97.0
American Career College-Los Angeles,CA,1613.0
American Conservatory Theater,CA,0.0
American River College,CA,26803.0
Antelope Valley College,CA,12367.0
Art Center College of Design,CA,1814.0
Associated Technical College-Los Angeles,CA,361.0
Associated Technical College-San Diego,CA,119.0
Azusa Pacific University,CA,5918.0
Bakersfield College,CA,16982.0
Barstow Community College,CA,1588.0
Bellus Academy-National City,CA,177.0
Bethesda University,CA,261.0
Biola University,CA,4364.0
Brooks Institute,CA,415.0
Brownson Technical School,CA,46.0
Bryan University,CA,1324.0
Butte College,CA,11164.0
Phillips Graduate Institute,CA,
California Institute of Integral Studies,CA,104.0
Cabrillo College,CA,12423.0
California Baptist University,CA,6435.0
California College of the Arts,CA,1512.0
University of California-Hastings College of Law,CA,
California Institute of Technology,CA,983.0
California Lutheran University,CA,2799.0
California Polytechnic State University-San Luis Obispo,CA,19177.0
Alliant International University-San Diego,CA,236.0
California State University-Bakersfield,CA,7524.0
California State University-Stanislaus,CA,7844.0
California State University-San Bernardino,CA,16439.0
California State Polytechnic University-Pomona,CA,22269.0
California State University-Chico,CA,15844.0
California State University-Dominguez Hills,CA,12199.0
California State University-Fresno,CA,20128.0
California State University-Fullerton,CA,32610.0
California State University-East Bay,CA,12275.0
California State University-Long Beach,CA,31494.0
California State University-Los Angeles,CA,20643.0
California State University-Northridge,CA,35409.0
California State University-Sacramento,CA,26400.0
University of California-Berkeley,CA,27126.0
University of California-Davis,CA,27547.0
University of California-Irvine,CA,24474.0
University of California-Los Angeles,CA,29627.0
University of California-Riverside,CA,18784.0
University of California-San Diego,CA,24801.0
University of California-San Francisco,CA,
University of California-Santa Barbara,CA,20237.0
University of California-Santa Cruz,CA,16277.0
Sofia University,CA,16.0
California Beauty School,CA,93.0
California Christian College,CA,16.0
Le Cordon Bleu College of Culinary Arts-San Francisco,CA,442.0
California Hair Design Academy,CA,195.0
California Institute of the Arts,CA,946.0
The California Maritime Academy,CA,1047.0
California Western School of Law,CA,
Canada College,CA,5142.0
College of the Canyons,CA,15204.0
Career Academy of Beauty,CA,157.0
Casa Loma College-Van Nuys,CA,446.0
CET-San Diego,CA,253.0
CET-Sobrato,CA,327.0
CET-El Centro,CA,260.0
CET-San Bernardino,CA,116.0
CET-Watsonville,CA,96.0
CET-Salinas,CA,54.0
Cerritos College,CA,18171.0
Cerro Coso Community College,CA,4314.0
Chabot College,CA,11968.0
Chaffey College,CA,17284.0
Chapman University,CA,6211.0
Charles R Drew University of Medicine and Science,CA,69.0
Concordia University-Irvine,CA,1884.0
San Diego Christian College,CA,940.0
Church Divinity School of the Pacific,CA,
Citrus College,CA,11388.0
Citrus Heights Beauty College,CA,105.0
City College of San Francisco,CA,21683.0
Claremont Graduate University,CA,
Claremont McKenna College,CA,1293.0
Milan Institute-Visalia,CA,352.0
Clovis Adult Education,CA,617.0
Coastline Community College,CA,9503.0
Cogswell College,CA,607.0
Coleman University,CA,512.0
COBA Academy,CA,36.0
Western University of Health Sciences,CA,
Columbia College,CA,2191.0
Columbia College-Hollywood,CA,307.0
El Camino College-Compton Center,CA,6734.0
Contra Costa College,CA,5333.0
Cosumnes River College,CA,13378.0
Crafton Hills College,CA,5152.0
Cuesta College,CA,7864.0
